size,planner,makespan
32,HEFT,268476.8808950676
32,HEFT,264574.46427212696
32,HEFT,266854.8024752045
32,HEFT,265809.87839264376
32,HEFT,273581.43564859364
32,HEFT,267532.63667086844
32,HEFT,271224.52914485906
32,HEFT,265500.4402394945
32,HEFT,270600.37991134595
32,HEFT,276249.0906289163
32,HEFT,267468.5516810869
32,HEFT,272114.9057538279
32,HEFT,274121.9707057385
32,HEFT,270895.1649364585
32,HEFT,265299.42342510197
32,HEFT,266549.9693645822
32,HEFT,264738.9141561945
32,HEFT,266784.1968037641
32,HEFT,276906.05218018376
32,HEFT,266917.01793984434
32,HEFT,265542.418765489
32,HEFT,274886.0103705624
32,HEFT,277321.7148549432
32,HEFT,267957.3763725381
32,HEFT,268042.8402612249
32,HEFT,265654.83124315314
32,HEFT,267752.3660505134
32,HEFT,266859.1841824429
32,HEFT,273022.85462703096
32,HEFT,270949.72959980014
32,HEFT,266565.8785724385
32,HEFT,266451.7838397887
32,HEFT,273034.2448982904
32,HEFT,267248.3418741453
64,HEFT,131927.82795554327
64,HEFT,134007.65072495522
64,HEFT,133973.8581246987
64,HEFT,133401.9651485556
64,HEFT,137493.90893151338
64,HEFT,132867.56901796596
64,HEFT,133584.6309929293
64,HEFT,135073.32820181904
64,HEFT,133511.0075097406
64,HEFT,134026.7718325496
64,HEFT,136116.8254767526
64,HEFT,132572.9100890085
64,HEFT,132194.14829938437
64,HEFT,133045.48161472325
64,HEFT,132566.8453618307
64,HEFT,133810.98356153836
64,HEFT,131915.4147898306
64,HEFT,133318.7926690754
64,HEFT,140049.00383015678
64,HEFT,133317.8150403618
64,HEFT,131799.70118839983
64,HEFT,132578.21151208328
64,HEFT,134143.57782741045
64,HEFT,135444.9854695666
64,HEFT,134003.1468067517
64,HEFT,131767.21683558312
64,HEFT,133924.4156968094
64,HEFT,131940.99673532177
64,HEFT,133330.7736050028
64,HEFT,133946.80036210222
64,HEFT,137430.26937488862
64,HEFT,134335.28365050233
64,HEFT,136448.2062133913
64,HEFT,133671.617606995
64,HEFT,134293.63292808368
64,HEFT,132197.00002502804
64,HEFT,132667.5390058438
64,HEFT,134359.4097370559
64,HEFT,131988.0553580759
64,HEFT,137535.32116354755
64,HEFT,131929.55406736466
64,HEFT,136369.7768226375
64,HEFT,134806.28882476158
64,HEFT,133226.69049562392
64,HEFT,133586.87258903618
64,HEFT,132880.352597145
64,HEFT,133213.28302322607
64,HEFT,131964.01782910337
64,HEFT,132529.75440045082
64,HEFT,133404.73851174823
64,HEFT,142004.3569808371
64,HEFT,134489.0713157159
64,HEFT,133559.36954371177
64,HEFT,137537.7608808658
64,HEFT,136403.51993062912
64,HEFT,133363.31778773194
64,HEFT,134278.31309669663
64,HEFT,132462.72619124386
64,HEFT,132728.50300227024
64,HEFT,133664.93390366176
64,HEFT,133620.79650074462
64,HEFT,132549.58001651044
64,HEFT,133032.23932936642
64,HEFT,133346.6067156301
64,HEFT,132597.06866715493
64,HEFT,139400.4528134524
64,HEFT,133335.14485611368
64,HEFT,133004.90448469072
64,HEFT,133342.6463059428
64,HEFT,135254.8802985207
64,HEFT,134464.23054124953
64,HEFT,135185.92248323318
64,HEFT,133033.43883546337
64,HEFT,135106.8485261735
64,HEFT,132064.63192089697
64,HEFT,132751.31000560825
64,HEFT,140182.31730344714
64,HEFT,132239.51009578953
64,HEFT,133673.3108695163
64,HEFT,134349.94155508847
64,HEFT,132870.29983187755
64,HEFT,136746.44266409866
64,HEFT,139037.4090442982
64,HEFT,134467.97060133234
64,HEFT,133448.84960991784
64,HEFT,137028.34433246125
64,HEFT,132588.38813384395
64,HEFT,133775.12803889465
64,HEFT,132875.00374466126
64,HEFT,135614.64879544216
64,HEFT,134914.28818217732
64,HEFT,134842.45408013804
64,HEFT,138035.42670366427
64,HEFT,133287.2826376553
64,HEFT,133726.68156398684
64,HEFT,131902.828477369
64,HEFT,136743.257551155
64,HEFT,132687.43216434473
64,HEFT,134280.91211237636
64,HEFT,136329.35940323985
128,HEFT,67910.0831713732
128,HEFT,68090.09902746484
128,HEFT,69749.18572405494
128,HEFT,68009.81979267673
128,HEFT,70131.03712308656
128,HEFT,67895.36470320169
128,HEFT,68078.59960430469
128,HEFT,68554.38168794982
128,HEFT,75155.58957529439
